#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SAL_AC7245AA_AS.result.fasta	SAL_AC7245AA_AS_NODE_13_length_83519_cov_11.186577	73162	73804	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7245AA_AS.result.fasta	SAL_AC7245AA_AS_NODE_19_length_5643_cov_10.056019	3456	3717	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7245AA_AS.result.fasta	SAL_AC7245AA_AS_NODE_24_length_3736_cov_729.117207	1136	1266	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7248AA_AS.result.fasta	SAL_AC7248AA_AS_NODE_24_length_51634_cov_5.743802	29444	29705	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7248AA_AS.result.fasta	SAL_AC7248AA_AS_NODE_24_length_51634_cov_5.743802	44789	45431	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7282AA_AS.result.fasta	SAL_AC7282AA_AS_NODE_15_length_93858_cov_6.595833	29426	29687	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7282AA_AS.result.fasta	SAL_AC7282AA_AS_NODE_15_length_93858_cov_6.595833	44771	45413	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7305AA_AS.result.fasta	SAL_AC7305AA_AS_NODE_30_length_31639_cov_5.601104	29420	29681	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7305AA_AS.result.fasta	SAL_AC7305AA_AS_NODE_38_length_17153_cov_6.677376	5187	5829	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7366AA_AS.result.fasta	SAL_AC7366AA_AS_NODE_19_length_62315_cov_7.188396	13227	13869	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7366AA_AS.result.fasta	SAL_AC7366AA_AS_NODE_27_length_31593_cov_6.608848	29424	29685	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7374AA_AS.result.fasta	SAL_AC7374AA_AS_NODE_15_length_93869_cov_7.010081	48456	49098	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7374AA_AS.result.fasta	SAL_AC7374AA_AS_NODE_15_length_93869_cov_7.010081	64182	64443	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7387AA_AS.result.fasta	SAL_AC7387AA_AS_NODE_20_length_60460_cov_4.747982	48433	49075	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7387AA_AS.result.fasta	SAL_AC7387AA_AS_NODE_28_length_31569_cov_4.313816	29424	29685	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AD0095AA_AS.result.fasta	SAL_AD0095AA_AS_NODE_30_length_24582_cov_11.909262	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0096AA_AS.result.fasta	SAL_AD0096AA_AS_NODE_27_length_24561_cov_9.440902	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0097AA_AS.result.fasta	SAL_AD0097AA_AS_NODE_31_length_24582_cov_8.288980	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0098AA_AS.result.fasta	SAL_AD0098AA_AS_NODE_30_length_24582_cov_7.748804	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0099AA_AS.result.fasta	SAL_AD0099AA_AS_NODE_28_length_24582_cov_6.689143	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0100AA_AS.result.fasta	SAL_AD0100AA_AS_NODE_28_length_24582_cov_8.226457	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0101AA_AS.result.fasta	SAL_AD0101AA_AS_NODE_32_length_24561_cov_6.054596	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0102AA_AS.result.fasta	SAL_AD0102AA_AS_NODE_32_length_24561_cov_6.191987	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0103AA_AS.result.fasta	SAL_AD0103AA_AS_NODE_32_length_24558_cov_10.823994	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0104AA_AS.result.fasta	SAL_AD0104AA_AS_NODE_28_length_24582_cov_7.509712	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0105AA_AS.result.fasta	SAL_AD0105AA_AS_NODE_29_length_24582_cov_7.160335	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0106AA_AS.result.fasta	SAL_AD0106AA_AS_NODE_28_length_24582_cov_7.791863	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0107AA_AS.result.fasta	SAL_AD0107AA_AS_NODE_30_length_24582_cov_6.262768	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0108AA_AS.result.fasta	SAL_AD0108AA_AS_NODE_28_length_24582_cov_6.525496	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0109AA_AS.result.fasta	SAL_AD0109AA_AS_NODE_27_length_24582_cov_8.945901	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0110AA_AS.result.fasta	SAL_AD0110AA_AS_NODE_27_length_24561_cov_6.028485	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0111AA_AS.result.fasta	SAL_AD0111AA_AS_NODE_31_length_24561_cov_6.298887	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0114AA_AS.result.fasta	SAL_AD0114AA_AS_NODE_24_length_40968_cov_7.041551	25646	26203	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0115AA_AS.result.fasta	SAL_AD0115AA_AS_NODE_32_length_24561_cov_9.966604	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0116AA_AS.result.fasta	SAL_AD0116AA_AS_NODE_31_length_24550_cov_7.880727	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0117AA_AS.result.fasta	SAL_AD0117AA_AS_NODE_28_length_24561_cov_6.937833	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0118AA_AS.result.fasta	SAL_AD0118AA_AS_NODE_3_length_469641_cov_10.673807	454297	454854	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0119AA_AS.result.fasta	SAL_AD0119AA_AS_NODE_29_length_24582_cov_4.889102	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0120AA_AS.result.fasta	SAL_AD0120AA_AS_NODE_31_length_24561_cov_9.048416	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0121AA_AS.result.fasta	SAL_AD0121AA_AS_NODE_29_length_24564_cov_5.490199	9242	9799	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
