#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SAL_AC6406AA_AS.result.fasta	SAL_AC6406AA_AS_NODE_39_length_36297_cov_9.772215	34157	34418	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC6406AA_AS.result.fasta	SAL_AC6406AA_AS_NODE_49_length_19994_cov_9.431167	8045	8687	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	99.84	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC6406AA_AS.result.fasta	SAL_AC6406AA_AS_NODE_61_length_4378_cov_647.405316	69	182	+	Col440I_1	1-114/114	===============	0/0	100.00	92.11	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
SAL_AC6406AA_AS.result.fasta	SAL_AC6406AA_AS_NODE_61_length_4378_cov_647.405316	3416	3698	+	Col440II_1	2-281/282	========/======	1/3	99.29	83.04	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
SAL_AC6406AA_AS.result.fasta	SAL_AC6406AA_AS_NODE_63_length_2829_cov_1403.010733	2261	2374	+	Col440I_1	1-114/114	===============	0/0	100.00	91.23	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
SAL_AC6408AA_AS.result.fasta	SAL_AC6408AA_AS_NODE_39_length_24561_cov_28.535279	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6409AA_AS.result.fasta	SAL_AC6409AA_AS_NODE_39_length_24561_cov_27.027830	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6574AA_AS.result.fasta	SAL_AC6574AA_AS_NODE_29_length_24561_cov_36.783621	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6577AA_AS.result.fasta	SAL_AC6577AA_AS_NODE_42_length_24582_cov_24.429483	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6578AA_AS.result.fasta	SAL_AC6578AA_AS_NODE_28_length_24561_cov_36.666285	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6580AA_AS.result.fasta	SAL_AC6580AA_AS_NODE_46_length_17540_cov_30.696434	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6581AA_AS.result.fasta	SAL_AC6581AA_AS_NODE_23_length_69437_cov_16.404141	1927	2188	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC6581AA_AS.result.fasta	SAL_AC6581AA_AS_NODE_23_length_69437_cov_16.404141	54189	54531	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC6581AA_AS.result.fasta	SAL_AC6581AA_AS_NODE_23_length_69437_cov_16.404141	55178	55551	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC6581AA_AS.result.fasta	SAL_AC6581AA_AS_NODE_32_length_19695_cov_15.997905	9338	9980	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC6581AA_AS.result.fasta	SAL_AC6581AA_AS_NODE_38_length_3736_cov_606.233029	1190	1320	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC6594AA_AS.result.fasta	SAL_AC6594AA_AS_NODE_34_length_24582_cov_26.131793	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6596AA_AS.result.fasta	SAL_AC6596AA_AS_NODE_25_length_28267_cov_12.406397	257	630	-	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC6596AA_AS.result.fasta	SAL_AC6596AA_AS_NODE_25_length_28267_cov_12.406397	1277	1619	-	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC6596AA_AS.result.fasta	SAL_AC6596AA_AS_NODE_26_length_26974_cov_13.919023	24787	25048	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC6596AA_AS.result.fasta	SAL_AC6596AA_AS_NODE_29_length_19560_cov_13.854217	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC6596AA_AS.result.fasta	SAL_AC6596AA_AS_NODE_35_length_3736_cov_498.031865	2854	2984	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC6597AA_AS.result.fasta	SAL_AC6597AA_AS_NODE_33_length_4043_cov_421.057712	3637	3793	-	Col3M_1	1-157/157	===============	0/0	100.00	98.09	plasmidfinder	JX514065	Col3M_1__JX514065	
SAL_AC6599AA_AS.result.fasta	SAL_AC6599AA_AS_NODE_33_length_23855_cov_25.199764	14060	14617	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6600AA_AS.result.fasta	SAL_AC6600AA_AS_NODE_17_length_91753_cov_32.718056	11181	11823	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	99.84	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC6600AA_AS.result.fasta	SAL_AC6600AA_AS_NODE_17_length_91753_cov_32.718056	89740	90001	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC6600AA_AS.result.fasta	SAL_AC6600AA_AS_NODE_25_length_38691_cov_85.772249	34197	34539	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC6600AA_AS.result.fasta	SAL_AC6600AA_AS_NODE_25_length_38691_cov_85.772249	35186	35559	+	IncX1_1	1-374/374	===============	0/0	100.00	98.93	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC6600AA_AS.result.fasta	SAL_AC6600AA_AS_NODE_37_length_4378_cov_969.764526	247	360	+	Col440I_1	1-114/114	===============	0/0	100.00	92.11	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
SAL_AC6600AA_AS.result.fasta	SAL_AC6600AA_AS_NODE_37_length_4378_cov_969.764526	3594	3876	+	Col440II_1	2-281/282	========/======	1/3	99.29	83.04	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
SAL_AC6600AA_AS.result.fasta	SAL_AC6600AA_AS_NODE_39_length_2829_cov_1766.806810	237	350	+	Col440I_1	1-114/114	===============	0/0	100.00	91.23	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
SAL_AC7111AA_AS.result.fasta	SAL_AC7111AA_AS_NODE_13_length_50905_cov_3.881464	40548	41190	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7111AA_AS.result.fasta	SAL_AC7111AA_AS_NODE_16_length_7607_cov_3.839840	3536	3797	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7113AA_AS.result.fasta	SAL_AC7113AA_AS_NODE_21_length_19563_cov_5.775674	9206	9848	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7113AA_AS.result.fasta	SAL_AC7113AA_AS_NODE_7_length_314231_cov_14.309324	310525	310786	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7119AA_AS.result.fasta	SAL_AC7119AA_AS_NODE_23_length_19641_cov_4.982167	9284	9926	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7119AA_AS.result.fasta	SAL_AC7119AA_AS_NODE_25_length_5641_cov_4.445230	3454	3715	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7125AA_AS.result.fasta	SAL_AC7125AA_AS_NODE_28_length_19542_cov_3.460932	9709	10351	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7125AA_AS.result.fasta	SAL_AC7125AA_AS_NODE_33_length_7649_cov_3.295400	3421	3682	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_10_length_83505_cov_6.407745	48557	48899	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_10_length_83505_cov_6.407745	49546	49919	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_10_length_83505_cov_6.407745	73148	73790	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_16_length_7520_cov_6.060463	3827	4088	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_17_length_7352_cov_419.845675	588	718	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_17_length_7352_cov_419.845675	4197	4327	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7181AA_AS.result.fasta	SAL_AC7181AA_AS_NODE_29_length_29666_cov_4.060361	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7181AA_AS.result.fasta	SAL_AC7181AA_AS_NODE_30_length_28276_cov_3.901702	266	639	-	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7181AA_AS.result.fasta	SAL_AC7181AA_AS_NODE_30_length_28276_cov_3.901702	1286	1628	-	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7181AA_AS.result.fasta	SAL_AC7181AA_AS_NODE_35_length_7674_cov_3.617596	3585	3846	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7181AA_AS.result.fasta	SAL_AC7181AA_AS_NODE_39_length_3736_cov_175.918814	2599	2729	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7182AA_AS.result.fasta	SAL_AC7182AA_AS_NODE_11_length_83515_cov_5.419041	48567	48909	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7182AA_AS.result.fasta	SAL_AC7182AA_AS_NODE_11_length_83515_cov_5.419041	49556	49929	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7182AA_AS.result.fasta	SAL_AC7182AA_AS_NODE_11_length_83515_cov_5.419041	73158	73800	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7182AA_AS.result.fasta	SAL_AC7182AA_AS_NODE_16_length_5580_cov_4.880800	3433	3694	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7182AA_AS.result.fasta	SAL_AC7182AA_AS_NODE_20_length_3736_cov_400.357440	3237	3367	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7184AA_AS.result.fasta	SAL_AC7184AA_AS_NODE_11_length_83516_cov_5.985250	48568	48910	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7184AA_AS.result.fasta	SAL_AC7184AA_AS_NODE_11_length_83516_cov_5.985250	49557	49930	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7184AA_AS.result.fasta	SAL_AC7184AA_AS_NODE_11_length_83516_cov_5.985250	73159	73801	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7184AA_AS.result.fasta	SAL_AC7184AA_AS_NODE_18_length_5641_cov_5.322271	1927	2188	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7184AA_AS.result.fasta	SAL_AC7184AA_AS_NODE_21_length_3736_cov_559.863120	3582	3712	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_20_length_29666_cov_4.363689	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_26_length_5697_cov_4.376302	1927	2188	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_27_length_4878_cov_2.780257	162	504	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_27_length_4878_cov_2.780257	1151	1524	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_31_length_3736_cov_291.560820	3148	3278	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_40_length_493_cov_1.642077	26	156	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7187AA_AS.result.fasta	SAL_AC7187AA_AS_NODE_15_length_83515_cov_5.707692	48567	48909	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7187AA_AS.result.fasta	SAL_AC7187AA_AS_NODE_15_length_83515_cov_5.707692	49556	49929	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7187AA_AS.result.fasta	SAL_AC7187AA_AS_NODE_15_length_83515_cov_5.707692	73158	73800	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7187AA_AS.result.fasta	SAL_AC7187AA_AS_NODE_22_length_5631_cov_5.851381	3444	3705	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7187AA_AS.result.fasta	SAL_AC7187AA_AS_NODE_25_length_3736_cov_300.807426	2575	2705	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7210AA_AS.result.fasta	SAL_AC7210AA_AS_NODE_24_length_16584_cov_6.950659	6227	6869	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7210AA_AS.result.fasta	SAL_AC7210AA_AS_NODE_26_length_5632_cov_6.406903	1927	2188	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7223AA_AS.result.fasta	SAL_AC7223AA_AS_NODE_14_length_50910_cov_7.553532	40553	41195	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7223AA_AS.result.fasta	SAL_AC7223AA_AS_NODE_19_length_5633_cov_6.923901	3446	3707	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7237AA_AS.result.fasta	SAL_AC7237AA_AS_NODE_13_length_83521_cov_10.514929	48573	48915	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7237AA_AS.result.fasta	SAL_AC7237AA_AS_NODE_13_length_83521_cov_10.514929	49562	49935	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7237AA_AS.result.fasta	SAL_AC7237AA_AS_NODE_13_length_83521_cov_10.514929	73164	73806	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7237AA_AS.result.fasta	SAL_AC7237AA_AS_NODE_20_length_5620_cov_9.365556	3433	3694	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7237AA_AS.result.fasta	SAL_AC7237AA_AS_NODE_24_length_3736_cov_709.737600	2110	2240	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7245AA_AS.result.fasta	SAL_AC7245AA_AS_NODE_13_length_83519_cov_11.186577	48571	48913	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7245AA_AS.result.fasta	SAL_AC7245AA_AS_NODE_13_length_83519_cov_11.186577	49560	49933	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7245AA_AS.result.fasta	SAL_AC7245AA_AS_NODE_13_length_83519_cov_11.186577	73162	73804	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7245AA_AS.result.fasta	SAL_AC7245AA_AS_NODE_19_length_5643_cov_10.056019	3456	3717	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7245AA_AS.result.fasta	SAL_AC7245AA_AS_NODE_24_length_3736_cov_729.117207	1136	1266	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7249AA_AS.result.fasta	SAL_AC7249AA_AS_NODE_16_length_50907_cov_10.120658	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7249AA_AS.result.fasta	SAL_AC7249AA_AS_NODE_21_length_5633_cov_9.359608	3446	3707	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7302AA_AS.result.fasta	SAL_AC7302AA_AS_NODE_23_length_16556_cov_6.979974	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7302AA_AS.result.fasta	SAL_AC7302AA_AS_NODE_24_length_5633_cov_6.710134	1927	2188	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7308AA_AS.result.fasta	SAL_AC7308AA_AS_NODE_15_length_50746_cov_7.067208	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7308AA_AS.result.fasta	SAL_AC7308AA_AS_NODE_19_length_5633_cov_6.703414	1927	2188	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7372AA_AS.result.fasta	SAL_AC7372AA_AS_NODE_15_length_50913_cov_8.052239	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7372AA_AS.result.fasta	SAL_AC7372AA_AS_NODE_7_length_277980_cov_11.820902	274284	274545	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7385AA_AS.result.fasta	SAL_AC7385AA_AS_NODE_16_length_50915_cov_7.982240	40558	41200	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7385AA_AS.result.fasta	SAL_AC7385AA_AS_NODE_20_length_5636_cov_7.763478	3449	3710	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AD0095AA_AS.result.fasta	SAL_AD0095AA_AS_NODE_30_length_24582_cov_11.909262	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0096AA_AS.result.fasta	SAL_AD0096AA_AS_NODE_27_length_24561_cov_9.440902	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0097AA_AS.result.fasta	SAL_AD0097AA_AS_NODE_31_length_24582_cov_8.288980	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0098AA_AS.result.fasta	SAL_AD0098AA_AS_NODE_30_length_24582_cov_7.748804	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0099AA_AS.result.fasta	SAL_AD0099AA_AS_NODE_28_length_24582_cov_6.689143	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0100AA_AS.result.fasta	SAL_AD0100AA_AS_NODE_28_length_24582_cov_8.226457	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0101AA_AS.result.fasta	SAL_AD0101AA_AS_NODE_32_length_24561_cov_6.054596	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AD0102AA_AS.result.fasta	SAL_AD0102AA_AS_NODE_32_length_24561_cov_6.191987	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
