Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_32_length_35973_cov_22.009178	1347	2135	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_32_length_35973_cov_22.009178	2302	2646	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_32_length_35973_cov_22.009178	2643	3479	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_32_length_35973_cov_22.009178	12366	12785	-	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTX	140	140	100.00	100.00	140	AAC33908.1	organomercurial transporter MerC	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_32_length_35973_cov_22.009178	12824	13096	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	91	91	100.00	90.11	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_32_length_35973_cov_22.009178	13113	13460	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	116	116	100.00	100.00	116	AAB59075.1	mercuric transport protein MerT	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_32_length_35973_cov_22.009178	13532	13963	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	144	144	100.00	93.75	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_32_length_35973_cov_22.009178	15999	17195	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_3_length_284699_cov_50.880371	181764	182108	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	115	116	99.14	93.04	115	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_44_length_11691_cov_23.354895	1673	2884	+	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	404	404	100.00	99.50	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_44_length_11691_cov_23.354895	9488	10510	-	aph(4)-Ia	aminoglycoside O-phosphotransferase APH(4)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	HYGROMYCIN	EXACTX	341	341	100.00	100.00	341	WP_000742814.1	aminoglycoside O-phosphotransferase APH(4)-Ia	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_44_length_11691_cov_23.354895	10742	11515	-	aac(3)-IVa	aminoglycoside N-acetyltransferase AAC(3)-IVa	core	AMR	AMR	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	EXACTX	258	258	100.00	100.00	258	WP_001199192.1	aminoglycoside N-acetyltransferase AAC(3)-IVa	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_51_length_4727_cov_24.366957	2828	3700	-	blaCTX-M-65	extended-spectrum class A beta-lactamase CTX-M-65	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_013188475.1	extended-spectrum class A beta-lactamase CTX-M-65	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_5_length_204015_cov_56.794230	184314	185009	+	lpfB	long polar fimbrial chaperone LpfB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	232	232	100.00	100.00	232	WXV87835.1	long polar fimbrial chaperone LpfB	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_60_length_1249_cov_23.652406	224	1036	-	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_9_length_186018_cov_45.926096	744	1856	+	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.25	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_9_length_186018_cov_45.926096	1940	5566	+	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_9_length_186018_cov_45.926096	94322	95227	-	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	99.34	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_9_length_186018_cov_45.926096	122825	124879	-	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_14_length_118025_cov_23.525989	100833	102029	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_14_length_118025_cov_23.525989	104065	104496	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	INTERNAL_STOP	144	144	100.00	93.75	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_14_length_118025_cov_23.525989	104568	104915	+	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	116	116	100.00	100.00	116	AAB59075.1	mercuric transport protein MerT	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_14_length_118025_cov_23.525989	104932	105204	+	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	91	91	100.00	90.11	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_14_length_118025_cov_23.525989	105243	105662	+	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTX	140	140	100.00	100.00	140	AAC33908.1	organomercurial transporter MerC	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_14_length_118025_cov_23.525989	114549	115385	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_14_length_118025_cov_23.525989	115382	115726	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_14_length_118025_cov_23.525989	115893	116681	-	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_20_length_89087_cov_30.544301	83668	86031	-	sspH2	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	788	788	100.00	100.00	788	QJV46475.1	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_21_length_87377_cov_31.429903	65035	67668	+	gyrA_D87Y	Salmonella quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	878	878	100.00	99.89	878	WP_001281271.1	DNA gyrase subunit A GyrA	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_25_length_62431_cov_26.258282	14234	16033	-	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_25_length_62431_cov_26.258282	16023	17822	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_34_length_44456_cov_30.298743	15020	16063	-	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	99.71	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_39_length_28194_cov_39.502049	12099	12443	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	115	116	99.14	93.04	115	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_3_length_245907_cov_35.473078	146353	148542	-	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	99.59	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_4_length_204015_cov_45.899719	184314	185009	+	lpfB	long polar fimbrial chaperone LpfB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	232	232	100.00	100.00	232	WXV87835.1	long polar fimbrial chaperone LpfB	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_54_length_12439_cov_31.695094	177	950	+	aac(3)-IVa	aminoglycoside N-acetyltransferase AAC(3)-IVa	core	AMR	AMR	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	EXACTX	258	258	100.00	100.00	258	WP_001199192.1	aminoglycoside N-acetyltransferase AAC(3)-IVa	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_54_length_12439_cov_31.695094	1182	2204	+	aph(4)-Ia	aminoglycoside O-phosphotransferase APH(4)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	HYGROMYCIN	EXACTX	341	341	100.00	100.00	341	WP_000742814.1	aminoglycoside O-phosphotransferase APH(4)-Ia	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_54_length_12439_cov_31.695094	8808	10019	-	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	404	404	100.00	99.50	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_59_length_6703_cov_25.673054	3863	4333	-	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_021529707.1	trimethoprim-resistant dihydrofolate reductase DfrA14	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_5_length_186034_cov_37.945048	61256	63310	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_5_length_186034_cov_37.945048	90908	91813	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	99.34	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_5_length_186034_cov_37.945048	180469	184095	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_5_length_186034_cov_37.945048	184179	185291	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.25	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_65_length_4727_cov_23.574130	1028	1900	+	blaCTX-M-65	extended-spectrum class A beta-lactamase CTX-M-65	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_013188475.1	extended-spectrum class A beta-lactamase CTX-M-65	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_6_length_184341_cov_35.217329	110634	113798	-	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.91	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_6_length_184341_cov_35.217329	113798	115021	-	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_6_length_184341_cov_35.217329	115298	117583	+	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.61	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_6_length_184341_cov_35.217329	117598	118059	+	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	EXACTX	154	154	100.00	100.00	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_74_length_2696_cov_25.154146	1836	2249	-	fosA3	fosfomycin resistance glutathione transferase FosA3	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	ALLELEX	138	138	100.00	100.00	138	WP_014839980.1	fosfomycin resistance glutathione transferase FosA3	NA	NA
SAL_AC6577AA_AS	NA	SAL_AC6577AA_AS_NODE_80_length_1249_cov_20.068627	224	1036	-	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_14_length_114127_cov_36.923377	14710	16899	-	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	99.59	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_16_length_103820_cov_23.658559	84028	85827	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_16_length_103820_cov_23.658559	85817	87616	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_2_length_470734_cov_43.260725	744	1856	+	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.25	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_2_length_470734_cov_43.260725	1940	5566	+	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_2_length_470734_cov_43.260725	94322	95227	-	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	99.34	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_2_length_470734_cov_43.260725	122825	124879	-	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_2_length_470734_cov_43.260725	288627	288971	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	115	116	99.14	93.04	115	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_30_length_35971_cov_21.804207	1345	2133	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_30_length_35971_cov_21.804207	2300	2644	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_30_length_35971_cov_21.804207	2641	3477	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_30_length_35971_cov_21.804207	12364	12783	-	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTX	140	140	100.00	100.00	140	AAC33908.1	organomercurial transporter MerC	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_30_length_35971_cov_21.804207	12822	13094	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	91	91	100.00	90.11	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_30_length_35971_cov_21.804207	13111	13458	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	116	116	100.00	100.00	116	AAB59075.1	mercuric transport protein MerT	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_30_length_35971_cov_21.804207	13530	13961	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	144	144	100.00	93.75	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_30_length_35971_cov_21.804207	15997	17193	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_44_length_11691_cov_22.473625	1673	2884	+	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	404	404	100.00	99.50	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR	NA	NA
SAL_AC6408AA_AS	NA	SAL_AC6408AA_AS_NODE_44_length_11691_cov_22.473625	9488	10510	-	aph(4)-Ia	aminoglycoside O-phosphotransferase APH(4)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	HYGROMYCIN	EXACTX	341	341	100.00	100.00	341	WP_000742814.1	aminoglycoside O-phosphotransferase APH(4)-Ia	NA	NA
