Uberstrain	Name	"Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)"	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Phage Type	Lab Contact	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	SISTR1 Serovar	SISTR1 Serogroup	SISTR1 H1	SISTR1 H2	SeqSero2 Serovar	SeqSero2 Serogroup	SeqSero2 H1	SeqSero2 H2	ST	eBG	Serotype (Predicted)	Lineage	Subspecies	aroC	dnaN	hemD	hisD	purE	sucA	thrA	cgST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900 (ceBG)	HC2000 (Super-lineage)	HC2600	HC2850 (subsp.)	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_EA4190AA	CFSAN024730	"SRR2176220;ILLUMINA;Paired;;SRX1160432;385913938;197;NEW"	SAL_EA4190AA	Human	Human	Homo sapiens	2010				South America	Chile	Santiago Metropolitan Region	Provincia de Santiago	Santiago				Enteritidis					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079675	SRS1041457	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	3000	4	Enteritidis			5	2	493	7	6	6	11	10124	10124	10124	10124	10119	10119	87	87	12	12	12	12	2	2	Assembled	82	406329	4710556	"Salmonella enterica;100.0%"	34	2003	2.2	SAL_IA5195AA_AS
SAL_EA4191AA	CFSAN024729	"SRR2176219;ILLUMINA;Paired;;SRX1160431;469540918;187;NEW"	SAL_EA4191AA	Human	Human	Homo sapiens	2010				South America	Chile	Antofagasta Region						Enteritidis					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079674	SRS1041455	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10123	10123	10123	10123	10123	766	87	87	12	12	12	12	2	2	Assembled	100	406296	4719938	"Salmonella enterica;100.0%"	40	1649	2.2	SAL_IA5196AA_AS
SAL_EA4196AA	CFSAN024751	"SRR2176214;ILLUMINA;Paired;;SRX1160426;567037710;171;NEW"	SAL_EA4196AA	Wild Animal	Avian	"kelp gull:foodon_00002980; animal; Larus dominicanus; kelp gull (Larus dominicanus)"	2012				South America	Chile	Coquimbo Region						Enteritidis	I				FDA Center for Food Safety and Applied Nutrition		PRJNA186035	SRP018785	SAMN03079696	SRS1041449	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10120	1057	762	762	760	760	87	87	12	12	12	12	2	2	Assembled	117	491962	4870572	"Salmonella enterica;86.49%"	42	1387	2.2	SAL_IA5201AA_AS
SAL_EA4197AA	CFSAN024750	"SRR2176213;ILLUMINA;Paired;;SRX1160425;473184690;205;NEW"	SAL_EA4197AA	Wild Animal	Avian	"kelp gull:foodon_00002980; animal; Larus dominicanus; kelp gull (Larus dominicanus)"	2012				South America	Chile	Coquimbo Region						Enteritidis					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079695	SRS1041451	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10120	1057	762	762	760	760	87	87	12	12	12	12	2	2	Assembled	98	406296	4846887	"Salmonella enterica;89.75%"	44	1990	2.2	SAL_IA5202AA_AS
SAL_EA4198AA	CFSAN024749	"SRR2176211;ILLUMINA;Paired;;SRX1160424;395053112;173;NEW"	SAL_EA4198AA	Wild Animal	Avian	"kelp gull:foodon_00002980; animal; Larus dominicanus; kelp gull (Larus dominicanus)"	2012				South America	Chile	Coquimbo Region						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079694	SRS1041445	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10120	1057	762	762	760	760	87	87	12	12	12	12	2	2	Assembled	81	491962	4885177	"Salmonella enterica;83.33%"	40	1757	2.2	SAL_IA5203AA_AS
SAL_EA4199AA	CFSAN024748	"SRR2176210;ILLUMINA;Paired;;SRX1160423;473673984;196;NEW"	SAL_EA4199AA	Wild Animal	Avian	"kelp gull:foodon_00002980; animal; Larus dominicanus; kelp gull (Larus dominicanus)"	2012				South America	Chile	Coquimbo Region						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079693	SRS1041446	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	3000	4	Enteritidis			5	2	493	7	6	6	11	10119	10119	10119	10119	10119	10119	87	87	12	12	12	12	2	2	Assembled	99	406329	4798970	"Salmonella enterica;96.66%"	31	2450	2.2	SAL_IA5204AA_AS
SAL_EA4200AA	CFSAN024747	"SRR8303982;PACBIO_SMRT;Single;;SRX5118484;;;SRA,SRR2176209;ILLUMINA;Paired;;SRX1160422;416284480;205;NEW"	SAL_EA4200AA	Wild Animal	Avian	"kelp gull:foodon_00002980; animal; Larus dominicanus; kelp gull (Larus dominicanus)"	2012				South America	Chile	Coquimbo	Provincia de Elqui	Coquimbo				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079692	SRS1041447	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10118	10118	10110	10110	760	760	87	87	12	12	12	12	2	2	Assembled	86	406296	4853073	"Salmonella enterica;89.19%"	40	2057	2.2	SAL_IA5205AA_AS
SAL_EA4203AA	CFSAN024745	"SRR2176204;ILLUMINA;Paired;;SRX1160417;585211864;194;NEW"	SAL_EA4203AA	Poultry	Poultry	Poultry egg	2012				South America	Chile	Santiago Metropolitan Region	Provincia de Santiago	Santiago				Enteritidis	I				FDA Center for Food Safety and Applied Nutrition		PRJNA186035	SRP018785	SAMN03079690	SRS1041441	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10116	10116	761	761	761	760	87	87	12	12	12	12	2	2	Assembled	124	405762	4749458	"Salmonella enterica;100.0%"	33	1694	2.2	SAL_IA5208AA_AS
SAL_EA4204AA	CFSAN024744	"SRR2176203;ILLUMINA;Paired;;SRX1160415;553113444;222;NEW"	SAL_EA4204AA	Poultry	Poultry	Poultry egg	2012				South America	Chile	Santiago Metropolitan Region	Provincia de Santiago	Santiago				Enteritidis	I				FDA Center for Food Safety and Applied Nutrition		PRJNA186035	SRP018785	SAMN03079689	SRS1041443	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10115	10115	761	761	761	760	87	87	12	12	12	12	2	2	Assembled	117	405762	4749559	"Salmonella enterica;100.0%"	33	1726	2.2	SAL_IA5209AA_AS
SAL_EA4205AA	CFSAN024743	"SRR2176202;ILLUMINA;Paired;;SRX1160414;482022200;220;NEW"	SAL_EA4205AA	Poultry	Poultry	Poultry egg	2012				South America	Chile	Santiago Metropolitan Region	Provincia de Santiago	Santiago				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079688	SRS1041444	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10115	10115	761	761	761	760	87	87	12	12	12	12	2	2	Assembled	102	406035	4750219	"Salmonella enterica;100.0%"	34	2060	2.2	SAL_IA5210AA_AS
SAL_EA4206AA	CFSAN024742	"SRR2176201;ILLUMINA;Paired;;SRX1160413;536542908;218;NEW"	SAL_EA4206AA	Poultry	Poultry	Poultry egg	2012				South America	Chile	Los Ríos Region	Provincia de Valdivia	Valdivia				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079687	SRS1041432	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10114	10114	10114	766	766	766	87	87	12	12	12	12	2	2	Assembled	114	406321	4709544	"Salmonella enterica;100.0%"	30	1451	2.2	SAL_IA5211AA_AS
SAL_EA4207AA	CFSAN024741	"SRR2176200;ILLUMINA;Paired;;SRX1160412;498482604;223;NEW"	SAL_EA4207AA	Human	Human	Homo sapiens	2012				South America	Chile	Santiago Metropolitan Region	Provincia de Santiago	Santiago				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079686	SRS1041433	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10113	10113	10113	1046	761	760	87	87	12	12	12	12	2	2	Assembled	106	406296	4746584	"Salmonella enterica;100.0%"	31	1973	2.2	SAL_IA5212AA_AS
SAL_EA4208AA	CFSAN024740	"SRR2176199;ILLUMINA;Paired;;SRX1160411;394962040;220;NEW,SRR8303993;PACBIO_SMRT;Single;;SRX5118495;;;SRA"	SAL_EA4208AA	Human	Human	"clinical/research| human; Homo sapiens"	2012				South America	Chile	Santiago Metropolitan Region	Provincia de Santiago	Santiago				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079685	SRS1041434	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10112	10112	10112	1046	761	760	87	87	12	12	12	12	2	2	Assembled	84	406329	4753407	"Salmonella enterica;100.0%"	39	3336	2.2	SAL_IA5213AA_AS
SAL_EA4209AA	CFSAN024739	"SRR2176198;ILLUMINA;Paired;;SRX1160410;475528950;225;NEW"	SAL_EA4209AA	Human	Human	Homo sapiens	2012				South America	Chile	Valparaiso Region						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079684	SRS1041435	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10111	10111	10111	10111	10111	760	87	87	12	12	12	12	2	2	Assembled	99	477337	4817071	"Salmonella enterica;96.55%"	31	2178	2.2	SAL_IA5214AA_AS
SAL_EA4210AA	CFSAN024738	"SRR2176197;ILLUMINA;Paired;;SRX1160409;568796540;221;NEW"	SAL_EA4210AA	Human	Human	Homo sapiens	2012				South America	Chile	XII Region of Magallanes and Chilean Antarctica						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079683	SRS1041436	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10110	10110	10110	10110	760	760	87	87	12	12	12	12	2	2	Assembled	118	406296	4853862	"Salmonella enterica;88.23%"	37	2261	2.2	SAL_IA5215AA_AS
SAL_EA4211AA	CFSAN024737	"SRR2176196;ILLUMINA;Paired;;SRX1160408;333166452;219;NEW"	SAL_EA4211AA	Human	Human	Homo sapiens	2012				South America	Chile	Coquimbo	Provincia de Elqui	Coquimbo				Enteritidis					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079682	SRS1041429	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10109	10109	762	762	760	760	87	87	12	12	12	12	2	2	Assembled	69	406296	4846019	"Salmonella enterica;89.2%"	42	3167	2.2	SAL_IA5216AA_AS
SAL_EA4212AA	CFSAN024736	"SRR2176195;ILLUMINA;Paired;;SRX1160407;519076688;214;NEW"	SAL_EA4212AA	Human	Human	Homo sapiens	2012				South America	Chile	Valparaiso Region						Enteritidis	I				FDA Center for Food Safety and Applied Nutrition		PRJNA186035	SRP018785	SAMN03079681	SRS1041430	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10108	757	757	757	757	757	87	87	12	12	12	12	2	2	Assembled	111	406296	4709720	"Salmonella enterica;100.0%"	29	2407	2.2	SAL_IA5217AA_AS
SAL_EA4213AA	CFSAN024727	"SRR2176194;ILLUMINA;Paired;;SRX1160406;483052976;196;NEW"	SAL_EA4213AA	Poultry	Poultry	Poultry egg	2009				South America	Chile	Valparaiso Region						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079672	SRS1041431	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	1035	1035	1033	780	761	760	87	87	12	12	12	12	2	2	Assembled	103	406296	4713416	"Salmonella enterica;77.5%"	40	2336	2.2	SAL_IA5218AA_AS
SAL_EA4214AA	CFSAN024726	"SRR2176193;ILLUMINA;Paired;;SRX1160405;478793520;212;NEW"	SAL_EA4214AA	Poultry	Poultry	Poultry,egg	2009				South America	Chile	Valparaiso Region						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079671	SRS1041437	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10107	10107	1033	780	761	760	87	87	12	12	12	12	2	2	Assembled	102	491920	4708153	"Salmonella enterica;100.0%"	32	1526	2.2	SAL_IA5219AA_AS
SAL_FA4994AA	CFSAN035130	"SRR8306743;PACBIO_SMRT;Single;;SRX5121245;;;SRA,SRR3393568;ILLUMINA;Paired;300;SRX1708357;196769996;149;SRA"	SAL_FA4994AA	Poultry	Avian	"Gallus gallus domesticus; feces"	2012				South America	Chile	Los Ríos Region	Provincia de Valdivia	Valdivia				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03800233	SRS1399393	16-04-2016	01-01-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	1055	1055	1055	1055	757	757	87	87	12	12	12	12	2	2	Assembled	41	305705	4707844	"Salmonella enterica;100.0%"	34	2502	3.41	SAL_KA9455AA_AS
SAL_FA4995AA	CFSAN035129	"SRR3393567;ILLUMINA;Paired;300;SRX1708165;298434186;149;SRA"	SAL_FA4995AA	Poultry	Avian	"Gallus gallus domesticus; feces"	2012				South America	Chile	Santiago Metropolitan Region	Provincia de Santiago	Santiago				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03800232	SRS1399373	16-04-2016	01-01-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	1054	1054	1054	1054	1054	1054	87	87	12	12	12	12	2	2	Assembled	64	441314	4649506	"Salmonella enterica;100.0%"	29	808	3.41	SAL_KA9454AA_AS
SAL_FA5004AA	CFSAN035124	"SRR3394941;ILLUMINA;Paired;300;SRX1708128;228598184;149;SRA"	SAL_FA5004AA	Human	Human	"Homo sapiens; stool"	2011				South America	Chile	Valparaiso Region						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03800227	SRS1399349	16-04-2016	01-01-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	1047	1047	1047	1047	1047	760	87	87	12	12	12	12	2	2	Assembled	47	405924	4813645	"Salmonella enterica;96.88%"	34	2818	3.41	SAL_KA9445AA_AS
SAL_FA5005AA	CFSAN035123	"SRR3394940;ILLUMINA;Paired;300;SRX1708125;287739860;149;SRA"	SAL_FA5005AA	Poultry	Avian	"Gallus gallus domesticus; feces"	2012				South America	Chile	Arica and Parinacota Region	Provincia de Arica	Arica				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03800226	SRS1399337	16-04-2016	01-01-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	767	767	766	766	766	766	87	87	12	12	12	12	2	2	Assembled	61	489254	4649265	"Salmonella enterica;100.0%"	30	785	3.41	SAL_KA9444AA_AS
SAL_FA5006AA	CFSAN035122	"SRR3394939;ILLUMINA;Paired;300;SRX1708123;221024514;149;SRA"	SAL_FA5006AA	Poultry	Avian	"Gallus gallus domesticus; feces"	2011				South America	Chile	O'Higgins Region	Provincia de Cachapoal	Rancagua				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03800225	SRS1399336	16-04-2016	01-01-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	1046	1046	1046	1046	761	760	87	87	12	12	12	12	2	2	Assembled	46	375635	4745945	"Salmonella enterica;95.0%"	41	2805	3.41	SAL_KA9443AA_AS
SAL_FA5007AA	CFSAN035121	"SRR3394938;ILLUMINA;Paired;300;SRX1708121;208487952;149;SRA"	SAL_FA5007AA	Human	Human	"Homo sapiens; stool"	2010				South America	Chile	Valparaiso Region						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03800224	SRS1399338	16-04-2016	01-01-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	1045	1045	1045	1045	760	760	87	87	12	12	12	12	2	2	Assembled	43	410998	4761795	"Salmonella enterica;97.3%"	40	2768	3.41	SAL_KA9442AA_AS
SAL_FA5008AA	CFSAN035120	"SRR3394937;ILLUMINA;Paired;300;SRX1708120;181540500;150;SRA"	SAL_FA5008AA	Human	Human	"Homo sapiens; stool"	2010				South America	Chile	Coquimbo Region						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03800223	SRS1399340	16-04-2016	01-01-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	1044	1044	1044	1044	766	766	87	87	12	12	12	12	2	2	Assembled	38	405924	4708799	"Salmonella enterica;100.0%"	40	2148	3.41	SAL_KA9441AA_AS
SAL_FA5009AA	CFSAN035119	"SRR3394936;ILLUMINA;Paired;300;SRX1708119;148064400;150;SRA"	SAL_FA5009AA	Human	Human	"Homo sapiens; stool"	2010				South America	Chile	Antofagasta Region						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03800222	SRS1399334	16-04-2016	01-01-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	1043	1043	1043	1043	766	766	87	87	12	12	12	12	2	2	Assembled	31	239807	4647789	"Salmonella enterica;100.0%"	38	3162	3.41	SAL_KA9440AA_AS
